               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073355,             0.01266,           0.0083235,            0.010371,            0.035939,           0.0036666,           0.0010538,            0.069674,            0.038371,            0.047516,           0.0033248,           0.0033248,            0.070077
                   1,            0.067807,            0.011459,           0.0062096,             0.34003,             0.17146,               0.197,            0.073421,             0.05968,            0.017197,            0.012186,           0.0066522,           0.0066522,            0.040071
                   2,            0.066452,            0.011529,           0.0059481,             0.18167,            0.092367,            0.072082,            0.025407,            0.060868,            0.028277,            0.034693,            0.009956,            0.009956,            0.010041
                   3,            0.064352,            0.011247,           0.0050966,             0.24553,             0.21969,             0.18895,            0.079655,            0.056781,            0.015852,            0.018453,           0.0099203,           0.0099203,           0.0099203
                   4,            0.061869,            0.011074,           0.0047968,             0.37364,             0.32124,             0.22705,            0.087325,            0.055305,             0.01697,            0.015514,           0.0099203,           0.0099203,           0.0099203
                   5,            0.061223,            0.010767,           0.0050495,             0.30078,             0.20421,             0.20284,            0.078898,            0.055257,            0.012977,            0.017984,           0.0098586,           0.0098586,           0.0098586
                   6,            0.060821,            0.010664,            0.004214,             0.24711,             0.22007,              0.2087,            0.087514,            0.055746,            0.013705,            0.024138,           0.0097798,           0.0097798,           0.0097798
                   7,            0.059749,            0.010809,           0.0043735,             0.25871,             0.44243,             0.19051,            0.084517,            0.060494,            0.014601,            0.034059,            0.009684,            0.009684,            0.009684
                   8,            0.059655,            0.010698,           0.0041659,             0.47575,             0.35463,             0.26574,             0.12386,            0.059431,            0.019262,            0.045572,           0.0095717,           0.0095717,           0.0095717
                   9,            0.058969,            0.010445,            0.004098,             0.36367,             0.19496,             0.25355,             0.10032,             0.04993,            0.013192,           0.0036515,           0.0094434,           0.0094434,           0.0094434
                  10,            0.058209,            0.010503,             0.00393,              0.2024,             0.34691,             0.16506,            0.055843,            0.057144,            0.014501,            0.012955,           0.0092995,           0.0092995,           0.0092995
                  11,             0.05847,             0.01053,           0.0042254,             0.38098,             0.19842,             0.22831,             0.10633,             0.05335,            0.012289,            0.011252,           0.0091406,           0.0091406,           0.0091406
                  12,            0.056132,            0.010232,           0.0037218,             0.35266,             0.50787,             0.25896,             0.10968,            0.054886,            0.013798,             0.01819,           0.0089673,           0.0089673,           0.0089673
                  13,            0.057202,            0.010371,           0.0037761,             0.28779,             0.50914,             0.25683,             0.10782,            0.051483,            0.014265,            0.015613,           0.0087804,           0.0087804,           0.0087804
                  14,            0.056045,            0.010258,           0.0038373,              0.3078,             0.23072,             0.22008,              0.1001,            0.058604,            0.017837,            0.035786,           0.0085805,           0.0085805,           0.0085805
                  15,            0.056016,            0.010362,           0.0035583,             0.30832,             0.49327,             0.19678,            0.081201,            0.058253,            0.018271,            0.026267,           0.0083684,           0.0083684,           0.0083684
                  16,            0.054992,           0.0099544,           0.0032175,             0.26417,             0.39277,             0.28901,             0.10693,            0.050739,            0.013104,            0.002625,            0.008145,            0.008145,            0.008145
                  17,            0.055588,           0.0099664,           0.0032871,             0.35782,             0.29913,             0.26866,             0.12163,            0.048972,            0.012782,            0.011865,           0.0079112,           0.0079112,           0.0079112
                  18,            0.054948,             0.01009,           0.0033285,             0.34077,             0.33105,             0.24751,             0.11285,            0.052237,            0.013351,            0.023075,           0.0076679,           0.0076679,           0.0076679
                  19,            0.053978,           0.0098747,           0.0030065,             0.33329,              0.6326,             0.24195,             0.11192,            0.063552,            0.026077,            0.044754,            0.007416,            0.007416,            0.007416
                  20,            0.053651,            0.009852,           0.0032043,             0.29957,             0.46579,             0.30195,             0.13883,            0.046768,            0.012479,           0.0068496,           0.0071566,           0.0071566,           0.0071566
                  21,            0.053474,           0.0099736,           0.0030664,             0.24089,             0.27126,             0.16606,            0.063156,            0.052466,            0.020024,            0.016291,           0.0068906,           0.0068906,           0.0068906
                  22,            0.054126,           0.0099712,           0.0030392,             0.32998,             0.25928,             0.25624,              0.1089,            0.051943,            0.012081,           0.0091339,           0.0066191,           0.0066191,           0.0066191
                  23,            0.052806,           0.0098949,           0.0030557,             0.54465,             0.28425,             0.32582,             0.14163,            0.046565,            0.013709,            0.018902,           0.0063432,           0.0063432,           0.0063432
                  24,            0.052633,           0.0099042,           0.0026531,             0.43086,             0.38352,             0.31782,             0.16534,            0.044345,            0.012954,           0.0093919,            0.006064,            0.006064,            0.006064
                  25,            0.051591,           0.0097902,           0.0028541,             0.31297,             0.28491,             0.24151,             0.10388,            0.046363,            0.013896,           0.0078605,           0.0057826,           0.0057826,           0.0057826
                  26,            0.051871,           0.0095741,           0.0027531,              0.3943,             0.22316,             0.28286,             0.13658,            0.044621,            0.013302,           0.0098469,              0.0055,              0.0055,              0.0055
                  27,            0.052147,           0.0097334,           0.0025691,             0.39505,             0.56664,             0.30839,             0.16213,            0.043045,             0.01387,            0.015254,           0.0052174,           0.0052174,           0.0052174
                  28,            0.051026,           0.0093617,           0.0027509,              0.6547,             0.36199,             0.44308,             0.19707,            0.043515,            0.012429,            0.010128,            0.004936,            0.004936,            0.004936
                  29,            0.050847,           0.0096984,           0.0023766,              0.4874,             0.28565,              0.3197,              0.1554,            0.044537,             0.01208,           0.0048516,           0.0046568,           0.0046568,           0.0046568
                  30,            0.049928,           0.0094268,           0.0024304,             0.36948,             0.55558,             0.32543,             0.17632,            0.041569,            0.012867,            0.014711,           0.0043809,           0.0043809,           0.0043809
                  31,            0.049732,           0.0095158,           0.0024753,             0.48573,             0.33857,             0.35715,             0.17779,            0.042374,            0.012249,            0.012417,           0.0041094,           0.0041094,           0.0041094
                  32,             0.04972,           0.0095199,           0.0022002,             0.46368,             0.45837,             0.36643,             0.17924,             0.04305,            0.012295,           0.0082596,           0.0038434,           0.0038434,           0.0038434
                  33,             0.04967,           0.0093694,           0.0022729,             0.41524,             0.52172,             0.35039,             0.16805,            0.044886,            0.013153,           0.0059626,            0.003584,            0.003584,            0.003584
                  34,            0.048465,           0.0092201,            0.002062,             0.34533,             0.53196,             0.36134,             0.17739,            0.041276,            0.011247,           0.0088203,           0.0033321,           0.0033321,           0.0033321
                  35,            0.048443,           0.0093093,            0.002014,             0.42958,             0.30788,             0.32624,             0.16517,            0.043744,            0.011483,           0.0054088,           0.0030888,           0.0030888,           0.0030888
                  36,            0.048363,           0.0092911,            0.002046,             0.57571,             0.33456,             0.40581,             0.20586,            0.041057,            0.012631,           0.0094009,            0.002855,            0.002855,            0.002855
                  37,            0.047141,           0.0090404,           0.0019447,              0.5612,             0.40906,             0.40809,             0.20043,            0.042134,            0.012468,            0.010942,           0.0026316,           0.0026316,           0.0026316
                  38,            0.047498,           0.0089182,           0.0019022,             0.46755,             0.55544,             0.36698,             0.19285,             0.04018,            0.013201,            0.013843,           0.0024195,           0.0024195,           0.0024195
                  39,            0.046908,           0.0089015,           0.0019143,             0.48011,             0.49257,             0.34582,             0.17829,            0.041582,            0.012435,            0.016337,           0.0022196,           0.0022196,           0.0022196
                  40,            0.046701,           0.0091624,           0.0017612,              0.4675,             0.39423,             0.38367,             0.19035,            0.041492,            0.010945,           0.0051567,           0.0020327,           0.0020327,           0.0020327
                  41,            0.046495,           0.0089944,           0.0017117,              0.5211,             0.50158,             0.44217,              0.2185,            0.039272,            0.010584,           0.0057231,           0.0018594,           0.0018594,           0.0018594
                  42,             0.04521,           0.0088466,           0.0016353,             0.33533,             0.55852,             0.33662,             0.17654,            0.040506,            0.012271,            0.013873,           0.0017005,           0.0017005,           0.0017005
                  43,            0.045624,           0.0088208,            0.001737,             0.38956,             0.55598,             0.37909,              0.2003,            0.038771,            0.011455,           0.0086016,           0.0015566,           0.0015566,           0.0015566
                  44,            0.044916,           0.0088229,           0.0017065,             0.43443,             0.54835,             0.40614,              0.2126,             0.03926,             0.01128,           0.0080458,           0.0014283,           0.0014283,           0.0014283
                  45,            0.045168,           0.0088626,            0.001646,             0.46699,             0.53762,             0.38033,             0.19972,             0.03909,            0.011605,           0.0085374,            0.001316,            0.001316,            0.001316
                  46,            0.044452,           0.0086725,           0.0014329,             0.47565,              0.4963,             0.37557,             0.20211,            0.038875,            0.011586,           0.0098283,           0.0012202,           0.0012202,           0.0012202
                  47,            0.044605,           0.0086086,           0.0014669,             0.41943,             0.52351,             0.36692,             0.19996,            0.038197,            0.011462,           0.0098109,           0.0011414,           0.0011414,           0.0011414
                  48,             0.04372,           0.0084128,           0.0014061,             0.54865,             0.44991,             0.47486,             0.24793,            0.037657,            0.011283,           0.0042097,           0.0010797,           0.0010797,           0.0010797
                  49,             0.04458,           0.0087006,           0.0013676,             0.68056,             0.34235,             0.45403,             0.23473,            0.037824,            0.010966,           0.0056462,           0.0010355,           0.0010355,           0.0010355
